POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6012,3394,3854,7248,1456,848,2306,528,1042,1569,87,104,186,138,123,266,2206,2117,4330,875,1415,2293,6.3,5.8,6.1,65,54.9,59.7,61,51.7,56,387,367,757,70,184,254,976,1096,2072,252,375,624,352,148,500,19,28,46,24,76,108,399,257,652,2911,3421,6331,689,805,1496,1818,2090,3914,1682,2053,3736
POA6014,7802,8499,16307,3864,2070,5934,1232,2555,3792,173,262,442,333,315,651,5612,5201,10814,1697,2772,4469,5.9,6.1,6,71.9,61.2,66.3,67.5,57.5,62.4,971,781,1758,252,432,681,2368,2692,5063,694,879,1579,858,362,1226,32,67,100,62,150,213,955,581,1536,7509,7927,15440,1670,1790,3465,4812,5135,9946,4023,4211,8234
POA6015,2527,2774,5302,1102,469,1572,426,798,1223,55,77,123,96,64,165,1679,1403,3081,743,1237,1974,5.7,4.6,5.4,66.4,50.6,58.1,62.6,48.4,55,355,241,600,64,118,183,806,821,1631,213,292,500,216,74,292,3,18,23,18,54,74,234,149,383,2589,2743,5324,417,398,820,1741,1907,3648,1241,1196,2431
POA6016,3836,4178,8016,1964,1224,3186,632,1242,1878,101,156,259,197,173,374,2900,2798,5698,697,1130,1830,6.8,6.2,6.6,75.6,67,71.1,70.3,62.8,66.4,348,324,671,116,209,331,996,1226,2224,363,406,769,572,248,816,17,38,56,53,98,156,648,384,1024,3626,3847,7469,813,847,1665,2331,2496,4829,1882,1995,3876
POA6017,1869,1774,3645,880,588,1473,296,405,700,60,56,109,114,96,208,1350,1145,2491,360,501,857,8.4,8.4,8.4,72.2,64.5,68.3,66.1,59.1,62.6,113,97,209,21,41,66,368,412,781,188,200,384,323,140,467,18,28,44,27,50,74,367,219,580,1371,1329,2694,488,480,968,688,695,1379,1104,1051,2158
POA6018,14432,16489,30924,7223,4395,11614,1888,4385,6275,401,503,905,622,544,1165,10141,9824,19967,3380,5617,8991,6.1,5.5,5.8,70.3,59.6,64.6,65.9,56.3,60.8,1055,981,2037,397,694,1085,3235,4130,7364,1413,1649,3064,2647,1106,3757,85,162,244,202,393,592,2932,1655,4590,13650,15190,28832,2757,3028,5786,8300,9252,17554,7461,8392,15857
POA6019,8994,9288,18281,4653,3118,7774,1202,2452,3650,249,278,523,404,330,732,6506,6178,12678,1803,2482,4290,6.2,5.3,5.8,72.3,66.5,69.4,67.9,63,65.4,651,605,1256,221,427,654,2078,2608,4689,867,1092,1957,1785,630,2415,52,91,146,127,220,352,1966,944,2903,7674,7676,15349,2074,2139,4217,4296,4500,8795,5168,5067,10232
POA6020,8210,8657,16871,3867,1930,5798,1200,2784,3982,227,274,501,345,261,604,5635,5246,10883,2184,3090,5273,6.1,5,5.5,68.6,60.6,64.5,64.5,57.6,60.9,550,397,948,206,360,565,1796,2126,3926,868,1032,1900,1645,594,2238,54,99,154,113,266,382,1814,958,2775,8237,8618,16860,1190,1291,2480,5929,6249,12173,3247,3413,6657
POA6021,8128,8646,16771,3825,2130,5955,1041,2150,3193,210,250,461,407,301,711,5477,4836,10312,2107,3224,5329,7.4,6.2,6.9,67.4,55.9,61.5,62.5,52.4,57.3,395,330,723,121,189,310,1302,1590,2892,710,811,1522,1724,701,2431,61,78,135,101,215,308,1886,986,2872,7630,8172,15802,1259,1209,2461,5152,5641,10793,3432,3399,6835
POA6022,2019,2026,4047,922,501,1420,284,565,848,67,75,142,86,64,155,1358,1204,2563,574,738,1311,6.3,5.3,6,67.3,59.4,63.3,63.1,56.3,59.6,65,42,111,43,68,112,308,382,691,185,239,428,540,201,738,10,25,36,32,71,103,587,293,879,2054,2023,4076,268,265,534,1510,1495,3009,714,728,1437
POA6023,5844,6171,12019,2889,1341,4233,814,2029,2840,171,181,348,262,208,469,4137,3764,7901,1493,2186,3683,6.3,5.5,5.9,70.8,61,65.7,66.3,57.5,61.7,405,272,676,150,278,432,1247,1425,2667,627,751,1377,1231,459,1694,25,79,106,71,197,268,1331,734,2067,6216,6400,12613,847,811,1655,4645,4785,9431,2199,2220,4424
POA6024,5394,5438,10830,2553,1318,3864,718,1574,2285,181,196,375,277,206,487,3732,3292,7020,1433,1938,3373,7.4,6.3,6.9,69.2,60.5,64.8,64,56.8,60.2,175,176,348,90,188,279,753,1035,1788,536,574,1111,1464,555,2022,54,83,135,96,163,261,1620,804,2420,5484,5520,11003,725,721,1439,4042,4088,8126,1916,1904,3817
POA6025,11979,12284,24270,5949,3071,9021,1649,3736,5385,367,412,780,629,449,1081,8598,7663,16261,2836,4114,6953,7.3,5.9,6.6,71.8,62.4,67,66.5,58.8,62.6,518,404,927,178,390,572,1804,2498,4304,1117,1470,2590,3332,1186,4519,74,166,242,178,345,527,3587,1697,5289,12019,12188,24206,1720,1764,3483,8585,8680,17266,4715,4845,9559
POA6026,8785,9420,18206,4416,2193,6610,1192,3035,4225,286,274,555,427,332,756,6319,5834,12148,2175,3304,5475,6.8,5.7,6.2,71.9,61.9,66.7,67.1,58.4,62.6,320,265,590,175,258,432,1328,1686,3014,954,1076,2030,2313,896,3208,62,135,194,121,318,438,2498,1346,3839,9079,9591,18671,1074,1132,2204,6853,7246,14096,3073,3259,6331
POA6027,16916,17300,34215,8351,4571,12918,2339,5228,7565,589,587,1173,1004,788,1795,12281,11172,23456,3765,5372,9131,8.2,7.1,7.7,72.6,64.6,68.6,66.7,60,63.3,631,559,1188,254,473,731,2224,3039,5257,1637,2094,3734,4772,1877,6654,163,248,408,262,495,760,5200,2622,7823,16270,16459,32727,2758,2858,5615,11130,11393,22529,7319,7427,14749
POA6028,8742,9002,17748,4865,2429,7292,1193,3147,4339,278,279,559,508,431,941,6840,6285,13123,1586,2466,4053,7.4,6.9,7.2,78.2,69.8,73.9,72.5,65,68.7,354,270,627,154,230,380,1164,1639,2803,894,1099,1987,2480,974,3459,82,163,245,115,253,374,2685,1388,4072,8925,9164,18086,1516,1509,3024,5626,5753,11381,4490,4613,9103
POA6029,1129,1156,2286,536,271,801,174,359,537,18,43,69,52,33,85,786,701,1490,286,410,697,6.6,4.7,5.7,69.6,60.6,65.2,64.5,58.2,61.5,85,73,156,29,46,70,276,311,580,129,122,253,214,71,281,0,14,19,13,28,47,236,111,347,1091,1162,2257,183,163,343,748,801,1555,494,490,985
POA6030,14944,15858,30803,7121,3844,10968,1978,4263,6246,585,490,1069,1062,939,2001,10749,9534,20279,3238,5306,8545,9.9,9.8,9.9,71.9,60.1,65.8,64.8,54.2,59.4,350,369,713,160,261,424,1222,1977,3199,1228,1806,3032,4331,2032,6362,145,301,442,245,455,697,4714,2789,7503,14761,15118,29881,2801,3021,5827,8746,8975,17724,8050,8398,16445
POA6031,5942,6360,12306,3372,1897,5272,762,1878,2639,221,253,479,361,361,729,4717,4396,9112,895,1672,2570,7.7,8.2,8,79.4,69.1,74,73.3,63.3,68.2,152,143,298,54,123,186,527,945,1479,532,837,1369,1793,941,2735,60,124,184,98,169,272,1956,1231,3186,6079,6391,12464,1345,1424,2769,3090,3240,6323,3828,4113,7940
POA6032,85,78,170,41,25,67,16,20,38,3,4,11,4,3,4,62,59,121,19,13,31,6.5,5.1,3.3,72.9,75.6,71.2,70.6,62.8,68.2,3,5,6,0,5,3,13,10,22,5,4,10,25,5,29,0,0,0,3,3,10,26,13,41,83,72,156,7,12,20,56,46,106,30,33,63
POA6033,207,163,367,79,33,113,32,51,86,14,4,16,6,4,12,128,96,229,60,46,103,4.7,4.2,5.2,61.8,58.9,62.4,60.4,54,58.6,4,0,6,0,0,4,17,20,36,14,12,23,43,13,64,0,4,8,0,3,3,47,22,68,194,158,356,18,10,32,151,111,262,55,49,104
POA6034,617,642,1255,391,228,616,54,183,237,33,31,62,20,25,44,498,463,963,57,126,185,4,5.4,4.6,80.7,72.1,76.7,77.5,68.8,72.9,9,5,16,4,12,20,40,99,143,50,82,133,212,125,339,7,15,19,10,24,28,226,163,389,371,381,748,365,378,737,32,29,66,616,660,1279
POA6035,3209,3479,6687,1534,794,2331,319,837,1155,133,122,258,201,185,380,2184,1938,4120,678,1167,1844,9.2,9.5,9.2,68.1,55.7,61.6,61.9,50.4,56,38,46,84,14,53,68,173,335,510,244,390,639,1038,509,1545,37,62,96,57,129,186,1140,694,1831,2985,3092,6079,848,886,1734,1164,1109,2273,2330,2570,4900
POA6036,5537,6058,11592,2928,1625,4551,640,1653,2287,211,223,434,342,379,719,4124,3876,7998,924,1679,2601,8.3,9.8,9,74.5,64,69,68.2,57.8,62.7,96,102,200,55,110,165,431,755,1185,448,702,1153,1611,861,2469,58,111,172,92,183,271,1759,1149,2914,5342,5517,10857,1454,1644,3093,2478,2537,5017,3835,4183,8020
POA6037,1199,1158,2362,477,206,682,120,285,404,49,44,94,80,69,152,721,607,1329,353,445,794,11.1,11.4,11.4,60.1,52.4,56.3,53.9,46.2,50,10,13,25,6,26,33,50,91,147,65,126,192,400,169,565,13,28,43,17,29,53,434,225,656,1089,1024,2113,261,266,526,623,557,1181,645,654,1298
POA6038,2234,2406,4639,1377,804,2173,221,674,893,102,93,195,118,110,231,1815,1682,3496,228,551,777,6.5,6.5,6.6,81.2,69.9,75.4,76.1,65.3,70.3,59,50,117,20,44,62,203,387,593,233,338,565,755,392,1144,32,60,93,40,54,96,824,507,1334,1644,1676,3322,1039,1165,2202,163,162,324,2287,2445,4730
POA6041,626,607,1227,200,87,289,69,136,203,24,18,41,37,17,55,330,258,582,244,298,545,11.2,6.6,9.5,52.7,42.5,47.4,46.8,39.7,43.4,5,3,7,5,3,13,18,50,65,23,48,72,204,69,271,8,15,17,13,13,26,221,96,318,635,607,1243,53,47,106,449,410,853,213,221,438
POA6042,39,35,79,10,0,7,9,6,13,3,0,3,0,3,3,17,11,33,17,20,35,0,27.3,9.1,43.6,31.4,41.8,56.4,17.1,29.1,0,3,3,0,0,0,5,3,7,3,4,9,11,3,16,0,0,3,0,0,0,11,5,12,32,30,62,4,7,8,21,20,45,18,15,29
POA6043,115,91,208,26,7,34,16,22,40,8,6,11,0,3,3,47,37,83,47,44,91,0,8.1,3.6,40.9,40.7,39.9,43.5,38.5,40.9,0,0,4,0,0,0,0,4,5,8,5,10,36,4,44,0,0,3,3,0,4,36,11,50,80,75,157,21,16,42,65,57,125,32,36,65
POA6044,573,504,1078,171,114,289,57,90,146,29,23,50,29,12,35,284,241,525,228,233,462,10.2,5,6.7,49.6,47.8,48.7,44.9,45,45,0,6,10,3,7,8,27,39,58,34,43,78,190,46,227,8,13,17,16,13,31,209,68,275,502,411,914,82,122,202,360,274,632,205,242,450
POA6050,6295,6927,13226,2823,1857,4684,990,1758,2747,151,209,361,276,210,487,4244,4034,8274,1469,2205,3674,6.5,5.2,5.9,67.4,58.2,62.6,63,55.2,58.9,536,518,1047,191,298,486,1689,1838,3527,557,654,1215,751,370,1123,35,58,91,55,112,170,845,540,1389,5283,5730,11019,1224,1293,2518,3504,3801,7305,2847,3078,5919
POA6051,5595,5342,10941,2772,1881,4652,822,1238,2058,175,175,354,310,271,586,4087,3562,7644,1007,1373,2381,7.6,7.6,7.7,73,66.7,69.9,67.4,61.7,64.6,420,427,846,123,211,340,1276,1457,2733,539,556,1093,907,462,1370,46,52,99,87,98,189,1037,615,1655,4170,4020,8189,1477,1464,2939,2254,2136,4394,3251,3199,6449
POA6052,4361,4814,9174,2176,1387,3556,625,1270,1893,113,163,274,197,180,375,3107,2991,6099,952,1514,2472,6.3,6,6.1,71.2,62.1,66.5,66.8,58.6,62.4,256,283,539,123,215,337,945,1122,2065,433,508,938,730,344,1077,30,63,93,44,96,143,807,508,1313,4064,4331,8396,812,852,1659,2658,2931,5587,1995,2120,4117
POA6053,5844,6118,11967,2893,1855,4748,797,1552,2351,149,175,322,333,233,562,4170,3814,7983,1311,1855,3169,8,6.1,7,71.4,62.3,66.7,65.7,58.5,62,297,354,652,146,213,357,1073,1387,2456,553,644,1204,1206,514,1724,47,63,111,70,147,220,1323,727,2055,5402,5686,11087,1080,1061,2140,3408,3616,7025,2827,2871,5693
POA6054,8142,8561,16701,3626,2209,5836,1053,2064,3112,256,279,536,517,364,880,5448,4917,10361,2159,3105,5258,9.5,7.4,8.5,66.9,57.4,62,60.6,53.2,56.8,246,282,528,139,241,380,960,1370,2333,619,815,1434,1988,903,2885,81,131,210,122,201,325,2191,1231,3426,7836,8009,15840,1244,1289,2535,5364,5466,10825,3343,3499,6842
POA6055,8121,8531,16653,4484,2567,7046,919,2047,2966,300,322,620,375,356,730,6076,5296,11372,1467,2697,4160,6.2,6.7,6.4,74.8,62.1,68.3,70.2,57.9,63.8,289,311,598,120,164,280,953,1415,2371,752,904,1657,2140,961,3100,84,134,224,102,203,307,2328,1301,3629,7223,7125,14352,2121,2082,4208,3419,3357,6779,5371,5362,10739
POA6056,15850,16361,32216,7110,4046,11150,1812,3922,5732,574,463,1038,1034,804,1840,10536,9228,19761,4114,5948,10069,9.8,8.7,9.3,66.5,56.4,61.3,59.9,51.5,55.6,272,294,569,147,314,459,1152,1737,2886,1112,1568,2681,4285,1972,6256,179,304,484,244,441,684,4706,2720,7428,14828,14992,29816,2658,2799,5454,9721,9794,19512,7028,7288,14318
POA6057,6664,6814,13476,3492,1868,5361,679,1751,2435,223,203,426,375,304,679,4771,4131,8902,1421,2279,3702,7.9,7.4,7.6,71.6,60.6,66.1,65.9,56.1,61,84,88,178,72,122,198,479,748,1231,411,664,1080,2071,883,2958,60,126,183,103,176,282,2231,1188,3419,6581,6715,13298,988,978,1964,4600,4599,9197,2622,2818,5435
POA6058,5100,5273,10373,2577,1361,3937,561,1234,1802,174,184,357,284,228,510,3598,3010,6610,1167,1905,3075,7.9,7.6,7.7,70.5,57.1,63.7,64.9,52.7,58.8,77,76,154,37,70,112,341,529,871,334,474,811,1549,668,2222,52,97,150,91,149,241,1696,920,2609,4951,5048,10001,745,774,1522,3240,3326,6573,2224,2293,4520
POA6059,9458,10277,19738,4169,2451,6624,1383,2564,3950,284,300,585,476,398,867,6315,5717,12028,2693,4082,6773,7.5,7,7.2,66.8,55.6,60.9,61.7,51.7,56.5,439,419,856,191,286,481,1679,1983,3662,883,945,1830,1784,784,2569,59,101,161,138,269,412,1986,1154,3142,9056,9700,18752,1468,1476,2944,6287,6892,13176,3909,4028,7936
POA6060,9486,10674,20159,4657,3284,7946,1311,2447,3765,238,328,567,506,434,946,6725,6499,13217,2102,3414,5516,7.5,6.7,7.2,70.9,60.9,65.6,65.4,56.8,60.9,540,607,1150,209,310,521,1993,2518,4518,918,1085,2006,1817,896,2720,80,119,195,113,241,356,2012,1259,3268,7758,8708,16472,2129,2343,4476,4326,5033,9357,5212,5641,10856
POA6061,15746,15593,31335,6394,3785,10186,2344,3271,5620,456,459,917,1199,910,2105,10395,8427,18828,4024,5939,9969,11.5,10.8,11.2,66,54,60.1,58.4,48.2,53.4,541,522,1059,136,257,391,1927,2246,4171,1400,1534,2931,2857,1492,4348,185,227,410,235,386,616,3271,2105,5372,13308,13200,26509,3871,3657,7527,7350,7556,14900,8837,8436,17272
POA6062,13547,13923,27472,6044,3370,9413,1806,3415,5222,380,410,789,787,626,1421,9022,7822,16844,3726,5298,9020,8.7,8,8.4,66.6,56.2,61.3,60.8,51.7,56.1,435,465,895,169,264,439,1786,2206,3987,1169,1314,2481,3199,1259,4461,118,174,297,206,353,555,3522,1785,5312,12471,12737,25213,2362,2309,4670,8491,8802,17299,5854,5748,11603
POA6063,5673,5594,11270,2597,1353,3950,741,1434,2184,195,139,332,395,292,679,3924,3220,7149,1377,2076,3452,10.1,9.1,9.5,69.2,57.6,63.4,62.3,52.3,57.4,90,101,191,32,63,93,488,655,1144,407,459,870,1348,645,1992,54,93,156,78,163,246,1482,904,2390,5857,5769,11625,760,780,1539,4238,4206,8440,2015,2021,4038
POA6064,12498,12453,24950,5157,2676,7840,1690,2962,4649,425,384,811,896,704,1598,8167,6731,14894,3640,5062,8708,11,10.5,10.7,65.3,54.1,59.7,58.2,48.4,53.3,183,199,387,71,148,220,895,1215,2107,793,1002,1798,2754,1325,4083,156,220,375,182,325,507,3095,1869,4962,12516,12504,25020,1925,1828,3751,9010,9024,18036,4744,4590,9332
POA6065,23225,24396,47622,12784,6679,19460,2932,7143,10077,736,833,1572,1244,1086,2323,17691,15746,33437,4419,7641,12059,7,6.9,6.9,76.2,64.5,70.2,70.8,60.1,65.3,688,603,1290,255,468,716,2698,3920,6620,2002,2757,4761,6472,2919,9389,229,380,606,343,689,1032,7045,3985,11028,24076,24876,48947,4059,4361,8419,14893,15243,30137,11657,12469,24128
POA6066,7423,7560,14981,3528,1922,5455,1022,2111,3131,253,249,502,491,406,897,5285,4691,9984,1789,2607,4396,9.3,8.7,9,71.2,62.1,66.6,64.7,56.6,60.7,126,133,257,60,105,169,636,855,1489,529,652,1176,1894,877,2772,74,128,200,98,198,302,2067,1209,3278,7784,7948,15734,847,838,1687,5806,5929,11732,2550,2568,5123
POA6067,10,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,3,4,0,0,0,0,0,0,0,3,4,4,10,13,9,12,23,0,4,3,7,11,18
POA6068,4,0,7,5,0,5,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,125,0,57.1,125,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3,0,3,0,0,3
POA6069,13957,15071,29029,7942,4512,12452,1544,3978,5518,493,479,971,773,815,1585,10746,9779,20532,2319,4367,6692,7.2,8.3,7.7,77,64.9,70.7,71.5,59.5,65.2,334,334,665,146,260,403,1200,1933,3132,1270,1792,3063,4055,2134,6188,153,303,457,191,388,579,4398,2833,7231,13849,14411,28265,3651,3923,7574,6784,6919,13698,9519,10210,19728
POA6070,1406,1475,2885,670,346,1017,198,435,636,29,37,74,48,37,83,952,862,1811,392,558,947,5,4.3,4.6,67.7,58.4,62.8,63.8,55.5,59.9,103,96,199,49,94,141,291,354,647,153,185,337,278,118,397,4,11,18,22,43,62,305,175,481,1494,1517,3015,172,202,379,1068,1096,2162,549,577,1124
POA6071,1363,1430,2796,597,334,932,201,477,678,48,33,80,78,58,133,917,902,1816,374,473,842,8.5,6.4,7.3,67.3,63.1,64.9,62.1,59,60.4,76,73,150,30,66,100,196,281,476,155,175,330,350,132,480,12,22,33,21,45,68,379,199,580,1383,1453,2836,155,154,309,1053,1103,2156,465,480,942
POA6072,382,368,747,147,76,228,50,99,149,19,9,27,16,10,20,227,191,417,101,123,225,7,5.2,4.8,59.4,51.9,55.8,56.5,50,54.1,11,10,23,7,6,17,28,55,80,38,45,80,106,41,149,3,9,10,6,13,12,112,64,169,345,350,688,27,28,60,261,264,524,101,101,208
